id,name
1,Россия
2,Казахстан
3,Монголия
4,Швеция
5,Узбекистан
6,Туркменистан
7,Армения
8,Иран
9,Азербайджан
10,Канада
11,Словения
12,Босния и Герцеговина
13,Индия
14,Испания
15,Непал
16,Пакистан
17,Вьетнам
18,Финляндия
19,Китай
20,Соединённые Штаты Америки
21,Сирия
22,Иордания
23,Таджикистан
24,Турция
25,Южная Осетия
26,Израиль
27,Беларусь
28,Грузия
29,Украина
30,Абхазия
31,Киргизия
32,Эфиопия
33,Сербия
34,Болгария
35,Афганистан
36,Судан
37,Эквадор
38,Япония
39,Южная Африка
