id,name
1,ЗИН
2,ЗММУ
3,"Новосибирск, ИСЭЖ СО РАН"
4,"ИБПС РАН, Магадан"
5,"Lublyana, Natural  History Museum"
6,Кызыл
7,ИБПК СО РАН (Якутск)
8,ИБПС РАН
9,Якутск
10,ИБПК СО РАН
11,ZIN
12,"Museum of Southwestern Biology, University of New Mexico, USA."
13,"ИЭРиЖ УрО РАН, Екатеринбург"
14,"ИБ КР РАН, Петрозаводск"
15,"The Manitoba Museum, Hold-up"
16,Royal Ontario Museum
17,Черноголовка
18,Черноголка
19,"ИПЭЭ, Москва"
20,"БПИ ДВНЦ РАН, Владивосток"
21,ЗМ КНУ
22,Biodiversity Institute of Ontario
23,Koper
24,Государственный Дарвиновский музей
25,"ИГУ, Иркутск"
26,Stokholm University
27,Stokholm
28,ЮГУ
29,"Новосибирск, ИСИЭЖ СО РАН"
30,Киров
31,"Lublyana, Natural History Museum"
32,"Lublyana, Natural Historu museum"
33,"Luyblyana,Natural History museum"
34,Kotlik
35,Manitoba museum
