col_id,tag_id
4991,1
4992,1
4993,1
4994,1
4995,1
4996,1
4997,1
4999,1
5000,1
5001,1
5012,1
5013,1
5014,1
5015,1
5016,1
5017,1
5018,1
5019,1
5020,1
5430,1
5431,1
5439,1
5440,1
5441,1
5464,1
5465,1
5466,1
5467,1
5468,1
5469,1
5470,1
5471,1
5472,1
5473,1
5474,1
5535,1
5536,1
5537,1
5538,1
5539,1
5571,1
5572,1
5577,1
5587,1
5588,1
5589,1
5590,1
5741,1
5747,1
5750,1
5752,1
5754,1
5761,1
5769,1
5770,1
5772,1
5789,1
5794,1
5795,1
5800,1
5801,1
5802,1
5806,1
5809,1
5815,1
5816,1
5822,1
5823,1
5860,1
